,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,xG,xGA,Poss.,Spettatori,Capitano,Formazione,Arbitro,Report partita,Note,Tiri,Dist.,Pun.,Rigori,Rig T,Stagione,Squadra
0,19-08-2023,20:45,Serie A,Giornata n. 1,Sab,Casa,V,2,0,Monza,2.7,0.8,47.0,72.509,Lautaro Martínez,3-5-2,Andrea Colombo,Report partita,,22.0,172.0,1.0,0,0,2024,Internazionale
1,28-08-2023,20:45,Serie A,Giornata n. 2,Lun,Ospiti,V,2,0,Cagliari,0.9,0.6,67.0,16.412,Lautaro Martínez,3-5-2,Michael Fabbri,Report partita,,17.0,159.0,0.0,0,0,2024,Internazionale
2,03-09-2023,18:30,Serie A,Giornata n. 3,Dom,Casa,V,4,0,Fiorentina,3.7,0.4,40.0,72.739,Lautaro Martínez,3-5-2,Matteo Marchetti,Report partita,,20.0,145.0,1.0,1,1,2024,Internazionale
3,16-09-2023,18:00,Serie A,Giornata n. 4,Sab,Casa,V,5,1,Milan,2.6,1.1,41.0,75.571,Lautaro Martínez,3-5-2,Simone Sozza,Report partita,,13.0,152.0,1.0,1,1,2024,Internazionale
5,24-09-2023,12:30,Serie A,Giornata n. 5,Dom,Ospiti,V,1,0,Empoli,1.6,0.3,61.0,15.651,Lautaro Martínez,3-5-2,Matteo Marcenaro,Report partita,,23.0,168.0,0.0,0,0,2024,Internazionale
6,27-09-2023,20:45,Serie A,Giornata n. 6,Mer,Casa,P,1,2,Sassuolo,0.9,1.0,63.0,70.864,Lautaro Martínez,3-5-2,Luca Massimi,Report partita,,13.0,152.0,0.0,0,0,2024,Internazionale
7,30-09-2023,20:45,Serie A,Giornata n. 7,Sab,Ospiti,V,4,0,Salernitana,2.3,0.6,64.0,28.085,Nicolò Barella,3-5-2,Rosario Abisso,Report partita,,15.0,168.0,1.0,1,1,2024,Internazionale
9,07-10-2023,15:00,Serie A,Giornata n. 8,Sab,Casa,N,2,2,Bologna,0.7,1.3,63.0,74.072,Lautaro Martínez,3-5-2,Marco Guida,Report partita,,14.0,183.0,1.0,0,0,2024,Internazionale
10,21-10-2023,18:00,Serie A,Giornata n. 9,Sab,Ospiti,V,3,0,Torino,2.5,0.4,53.0,26.193,Lautaro Martínez,3-5-2,Matteo Marchetti,Report partita,,13.0,171.0,1.0,1,1,2024,Internazionale
12,29-10-2023,18:00,Serie A,Giornata n. 10,Dom,Casa,V,1,0,Roma,2.2,0.1,63.0,75.573,Lautaro Martínez,3-5-2,Fabio Maresca,Report partita,,19.0,160.0,0.0,0,0,2024,Internazionale
13,04-11-2023,18:00,Serie A,Giornata n. 11,Sab,Ospiti,V,2,1,Atalanta,1.3,1.0,46.0,14.945,Lautaro Martínez,3-5-2,Simone Sozza,Report partita,,9.0,230.0,1.0,1,1,2024,Internazionale
15,12-11-2023,20:45,Serie A,Giornata n. 12,Dom,Casa,V,2,0,Frosinone,3.1,0.7,47.0,70.816,Lautaro Martínez,3-5-2,Federico Dionisi,Report partita,,20.0,196.0,1.0,1,1,2024,Internazionale
16,26-11-2023,20:45,Serie A,Giornata n. 13,Dom,Ospiti,N,1,1,Juventus,0.9,0.4,65.0,41.507,Lautaro Martínez,3-5-2,Marco Guida,Report partita,,8.0,164.0,0.0,0,0,2024,Internazionale
18,03-12-2023,20:45,Serie A,Giornata n. 14,Dom,Ospiti,V,3,0,Napoli,2.7,0.6,43.0,55.0,Lautaro Martínez,3-5-2,Davide Massa,Report partita,,11.0,160.0,0.0,0,0,2024,Internazionale
19,09-12-2023,20:45,Serie A,Giornata n. 15,Sab,Casa,V,4,0,Udinese,3.5,0.8,74.0,71.874,Lautaro Martínez,3-5-2,Marco Di Bello,Report partita,,16.0,167.0,0.0,1,1,2024,Internazionale
21,17-12-2023,20:45,Serie A,Giornata n. 16,Dom,Ospiti,V,2,0,Lazio,1.6,1.5,52.0,59.0,Lautaro Martínez,3-5-2,Fabio Maresca,Report partita,,12.0,138.0,1.0,0,0,2024,Internazionale
23,23-12-2023,18:00,Serie A,Giornata n. 17,Sab,Casa,V,2,0,Lecce,2.9,1.3,68.0,72.723,Nicolò Barella,3-5-2,Matteo Marcenaro,Report partita,,20.0,151.0,1.0,0,0,2024,Internazionale
24,29-12-2023,20:45,Serie A,Giornata n. 18,Ven,Ospiti,N,1,1,Genoa,1.8,0.5,52.0,33.249,Nicolò Barella,3-5-2,Daniele Doveri,Report partita,,16.0,144.0,0.0,0,0,2024,Internazionale
25,06-01-2024,12:30,Serie A,Giornata n. 19,Sab,Casa,V,2,1,Hellas Verona,1.9,1.3,61.0,71.691,Lautaro Martínez,3-5-2,Michael Fabbri,Report partita,,15.0,152.0,0.0,0,0,2024,Internazionale
26,13-01-2024,20:45,Serie A,Giornata n. 20,Sab,Ospiti,V,5,1,Monza,4.3,1.0,43.0,14.67,Lautaro Martínez,3-5-2,Antonio Rapuano,Report partita,,18.0,197.0,1.0,2,2,2024,Internazionale
29,28-01-2024,20:45,Serie A,Giornata n. 22,Dom,Ospiti,V,1,0,Fiorentina,0.5,1.8,43.0,,Lautaro Martínez,3-5-2,Gianluca Aureliano,Report partita,,8.0,171.0,0.0,0,0,2024,Internazionale
30,04-02-2024,20:45,Serie A,Giornata n. 23,Dom,Casa,V,1,0,Juventus,1.7,0.6,54.0,,Lautaro Martínez,3-5-2,Fabio Maresca,Report partita,,15.0,154.0,0.0,0,0,2024,Internazionale
31,10-02-2024,18:00,Serie A,Giornata n. 24,Sab,Ospiti,V,4,2,Roma,0.9,0.7,53.0,,Lautaro Martínez,5-3-2,Marco Guida,Report partita,,10.0,212.0,1.0,0,0,2024,Internazionale
32,16-02-2024,21:00,Serie A,Giornata n. 25,Ven,Casa,V,4,0,Salernitana,3.9,0.0,75.0,,Lautaro Martínez,3-5-2,Marco Piccinini,Report partita,,26.0,140.0,1.0,0,0,2024,Internazionale
34,25-02-2024,18:00,Serie A,Giornata n. 26,Dom,Ospiti,V,4,0,Lecce,2.9,1.0,61.0,,Lautaro Martínez,3-5-2,Daniele Doveri,Report partita,,11.0,156.0,0.0,0,0,2024,Internazionale
35,28-02-2024,20:45,Serie A,Giornata n. 21,Mer,Casa,V,4,0,Atalanta,2.0,0.3,59.0,,Lautaro Martínez,3-5-2,Andrea Colombo,Report partita,,14.0,178.0,0.0,0,1,2024,Internazionale
36,04-03-2024,20:45,Serie A,Giornata n. 27,Lun,Casa,V,2,1,Genoa,1.8,0.8,62.0,,Lautaro Martínez,3-5-2,Giovanni Ayroldi,Report partita,,14.0,179.0,0.0,1,1,2024,Internazionale
37,09-03-2024,18:00,Serie A,Giornata n. 28,Sab,Ospiti,V,1,0,Bologna,0.9,0.6,40.0,,Nicolò Barella,3-5-2,Luca Pairetto,Report partita,,5.0,126.0,0.0,0,0,2024,Internazionale
39,17-03-2024,20:45,Serie A,Giornata n. 29,Dom,Casa,N,1,1,Napoli,1.6,1.4,49.0,,Lautaro Martínez,3-5-2,Federico La Penna,Report partita,,19.0,155.0,1.0,0,0,2024,Internazionale
40,01-04-2024,20:45,Serie A,Giornata n. 30,Lun,Casa,V,2,0,Empoli,2.1,0.5,59.0,,Lautaro Martínez,3-5-2,Federico Dionisi,Report partita,,19.0,179.0,0.0,0,0,2024,Internazionale
0,21-08-2023,20:45,Serie A,Giornata n. 1,Lun,Ospiti,V,2.0,0.0,Bologna,0.9,1.0,47.0,30.203,Davide Calabria,4-3-3,Luca Pairetto,Report partita,,9.0,157.0,0.0,0,0,2024,Milan
1,26-08-2023,20:45,Serie A,Giornata n. 2,Sab,Casa,V,4.0,1.0,Torino,3.0,0.5,59.0,72.013,Davide Calabria,4-3-3,Maurizio Mariani,Report partita,,15.0,207.0,0.0,2,2,2024,Milan
2,01-09-2023,20:45,Serie A,Giornata n. 3,Ven,Ospiti,V,2.0,1.0,Roma,1.5,0.7,56.0,61.69,Davide Calabria,4-2-3-1,Antonio Rapuano,Report partita,,8.0,142.0,0.0,1,1,2024,Milan
3,16-09-2023,18:00,Serie A,Giornata n. 4,Sab,Ospiti,P,1.0,5.0,Inter,1.1,2.6,59.0,75.571,Davide Calabria,4-3-3,Simone Sozza,Report partita,,9.0,186.0,1.0,0,0,2024,Milan
5,23-09-2023,15:00,Serie A,Giornata n. 5,Sab,Casa,V,1.0,0.0,Hellas Verona,0.9,0.6,54.0,71.07,Rafael Leão,4-2-3-1,Fabio Maresca,Report partita,,9.0,137.0,0.0,0,0,2024,Milan
6,27-09-2023,18:30,Serie A,Giornata n. 6,Mer,Ospiti,V,3.0,1.0,Cagliari,2.1,0.9,66.0,16.348,Theo Hernández,4-3-3,Federico La Penna,Report partita,,17.0,178.0,0.0,0,0,2024,Milan
7,30-09-2023,18:00,Serie A,Giornata n. 7,Sab,Casa,V,2.0,0.0,Lazio,2.2,0.5,51.0,72.035,Davide Calabria,4-3-3,Davide Massa,Report partita,,14.0,150.0,0.0,0,0,2024,Milan
9,07-10-2023,20:45,Serie A,Giornata n. 8,Sab,Ospiti,V,1.0,0.0,Genoa,0.6,0.5,59.0,33.157,Theo Hernández,4-3-3,Marco Piccinini,Report partita,,12.0,196.0,0.0,0,0,2024,Milan
10,22-10-2023,20:45,Serie A,Giornata n. 9,Dom,Casa,P,0.0,1.0,Juventus,0.3,1.4,52.0,75.676,Davide Calabria,4-2-3-1,Maurizio Mariani,Report partita,,7.0,179.0,0.0,0,0,2024,Milan
12,29-10-2023,20:45,Serie A,Giornata n. 10,Dom,Ospiti,N,2.0,2.0,Napoli,2.0,1.7,52.0,54.0,Davide Calabria,4-3-3,Daniele Orsato,Report partita,,20.0,152.0,1.0,0,0,2024,Milan
13,04-11-2023,20:45,Serie A,Giornata n. 11,Sab,Casa,P,0.0,1.0,Udinese,0.9,1.4,72.0,71.018,Davide Calabria,4-4-2,Juan Sacchi,Report partita,,14.0,186.0,0.0,0,0,2024,Milan
15,11-11-2023,15:00,Serie A,Giornata n. 12,Sab,Ospiti,N,2.0,2.0,Lecce,1.1,1.4,55.0,26.48,Davide Calabria,4-2-3-1,Rosario Abisso,Report partita,,10.0,155.0,0.0,0,0,2024,Milan
16,25-11-2023,20:45,Serie A,Giornata n. 13,Sab,Casa,V,1.0,0.0,Fiorentina,1.8,1.8,42.0,73.074,Davide Calabria,4-2-3-1,Marco Di Bello,Report partita,,8.0,157.0,0.0,1,1,2024,Milan
18,02-12-2023,20:45,Serie A,Giornata n. 14,Sab,Casa,V,3.0,1.0,Frosinone,1.2,0.7,47.0,68.684,Davide Calabria,4-3-3,Matteo Marchetti,Report partita,,10.0,164.0,0.0,0,0,2024,Milan
19,09-12-2023,18:00,Serie A,Giornata n. 15,Sab,Ospiti,P,2.0,3.0,Atalanta,1.5,3.3,58.0,14.907,Davide Calabria,4-3-3,Federico La Penna,Report partita,,14.0,183.0,0.0,0,0,2024,Milan
21,17-12-2023,12:30,Serie A,Giornata n. 16,Dom,Casa,V,3.0,0.0,Monza,2.0,1.5,45.0,70.538,Theo Hernández,3-4-3,Gianluca Aureliano,Report partita,,17.0,157.0,0.0,0,0,2024,Milan
22,22-12-2023,20:45,Serie A,Giornata n. 17,Ven,Ospiti,N,2.0,2.0,Salernitana,2.2,1.4,65.0,23.467,Davide Calabria,4-2-3-1,Daniele Doveri,Report partita,,21.0,163.0,0.0,0,0,2024,Milan
23,30-12-2023,18:00,Serie A,Giornata n. 18,Sab,Casa,V,1.0,0.0,Sassuolo,1.5,0.5,58.0,70.385,Davide Calabria,4-2-3-1,Livio Marinelli,Report partita,,20.0,181.0,1.0,0,0,2024,Milan
25,07-01-2024,12:30,Serie A,Giornata n. 19,Dom,Ospiti,V,3.0,0.0,Empoli,1.7,0.9,65.0,15.009,Davide Calabria,4-3-3,Federico La Penna,Report partita,,12.0,185.0,0.0,1,1,2024,Milan
27,14-01-2024,20:45,Serie A,Giornata n. 20,Dom,Casa,V,3.0,1.0,Roma,1.5,1.4,48.0,74.198,Theo Hernández,4-3-3,Marco Guida,Report partita,,17.0,174.0,0.0,0,0,2024,Milan
28,20-01-2024,20:45,Serie A,Giornata n. 21,Sab,Ospiti,V,3.0,2.0,Udinese,2.6,0.6,69.0,,Davide Calabria,4-3-3,Fabio Maresca,Report partita,,15.0,123.0,0.0,0,0,2024,Milan
29,27-01-2024,20:45,Serie A,Giornata n. 22,Sab,Casa,N,2.0,2.0,Bologna,3.3,1.8,50.0,,Davide Calabria,4-2-3-1,Davide Massa,Report partita,,12.0,184.0,0.0,0,2,2024,Milan
30,03-02-2024,18:00,Serie A,Giornata n. 23,Sab,Ospiti,V,3.0,2.0,Frosinone,1.4,1.0,58.0,,Davide Calabria,4-2-3-1,Luca Pairetto,Report partita,,13.0,154.0,0.0,0,0,2024,Milan
31,11-02-2024,20:45,Serie A,Giornata n. 24,Dom,Casa,V,1.0,0.0,Napoli,0.9,0.7,41.0,,Davide Calabria,4-2-3-1,Daniele Doveri,Report partita,,10.0,183.0,0.0,0,0,2024,Milan
33,18-02-2024,20:45,Serie A,Giornata n. 25,Dom,Ospiti,P,2.0,4.0,Monza,1.3,1.8,51.0,,Theo Hernández,4-2-3-1,Andrea Colombo,Report partita,,16.0,186.0,1.0,0,0,2024,Milan
35,25-02-2024,20:45,Serie A,Giornata n. 26,Dom,Casa,N,1.0,1.0,Atalanta,1.3,1.1,68.0,,Theo Hernández,4-2-3-1,Daniele Orsato,Report partita,,20.0,190.0,0.0,0,0,2024,Milan
36,01-03-2024,20:45,Serie A,Giornata n. 27,Ven,Ospiti,V,1.0,0.0,Lazio,1.0,1.3,61.0,,Theo Hernández,4-2-3-1,Marco Di Bello,Report partita,,14.0,180.0,1.0,0,0,2024,Milan
38,10-03-2024,15:00,Serie A,Giornata n. 28,Dom,Casa,V,1.0,0.0,Empoli,0.8,0.2,61.0,,Davide Calabria,4-2-3-1,Juan Sacchi,Report partita,,15.0,163.0,0.0,0,0,2024,Milan
40,17-03-2024,15:00,Serie A,Giornata n. 29,Dom,Ospiti,V,3.0,1.0,Hellas Verona,2.7,0.5,56.0,,Davide Calabria,4-2-3-1,Maurizio Mariani,Report partita,,18.0,155.0,0.0,0,0,2024,Milan
41,30-03-2024,20:45,Serie A,Giornata n. 30,Sab,Ospiti,V,2.0,1.0,Fiorentina,3.1,1.4,55.0,,Davide Calabria,4-2-3-1,Fabio Maresca,Report partita,,14.0,115.0,0.0,0,0,2024,Milan
0,20-08-2023,20:45,Serie A,Giornata n. 1,Dom,Ospiti,V,3.0,0.0,Udinese,1.8,1.0,51.0,24.911,Danilo Luiz da Silva,3-1-4-2,Antonio Rapuano,Report partita,,8.0,170.0,0.0,1,1,2024,Juventus
1,27-08-2023,18:30,Serie A,Giornata n. 2,Dom,Casa,N,1.0,1.0,Bologna,0.8,0.5,58.0,36.107,Danilo Luiz da Silva,3-1-4-2,Marco Di Bello,Report partita,,14.0,180.0,1.0,0,0,2024,Juventus
2,03-09-2023,20:45,Serie A,Giornata n. 3,Dom,Ospiti,V,2.0,0.0,Empoli,2.7,0.3,50.0,15.702,Danilo Luiz da Silva,3-5-2,Giovanni Ayroldi,Report partita,,17.0,176.0,0.0,0,1,2024,Juventus
3,16-09-2023,15:00,Serie A,Giornata n. 4,Sab,Casa,V,3.0,1.0,Lazio,2.2,0.6,36.0,40.652,Danilo Luiz da Silva,3-1-4-2,Fabio Maresca,Report partita,,17.0,128.0,0.0,0,0,2024,Juventus
4,23-09-2023,18:00,Serie A,Giornata n. 5,Sab,Ospiti,P,2.0,4.0,Sassuolo,1.2,1.6,57.0,20.141,Danilo Luiz da Silva,3-1-4-2,Andrea Colombo,Report partita,,15.0,182.0,1.0,0,0,2024,Juventus
5,26-09-2023,20:45,Serie A,Giornata n. 6,Mar,Casa,V,1.0,0.0,Lecce,1.4,0.1,50.0,37.498,Danilo Luiz da Silva,3-1-4-2,Antonio Giua,Report partita,,15.0,182.0,0.0,0,0,2024,Juventus
6,01-10-2023,18:00,Serie A,Giornata n. 7,Dom,Ospiti,N,0.0,0.0,Atalanta,0.2,1.2,48.0,14.811,Danilo Luiz da Silva,3-1-4-2,Daniele Chiffi,Report partita,,5.0,223.0,1.0,0,0,2024,Juventus
7,07-10-2023,18:00,Serie A,Giornata n. 8,Sab,Casa,V,2.0,0.0,Torino,1.9,0.6,50.0,38.858,Danilo Luiz da Silva,3-5-2,Davide Massa,Report partita,,17.0,151.0,0.0,0,0,2024,Juventus
8,22-10-2023,20:45,Serie A,Giornata n. 9,Dom,Ospiti,V,1.0,0.0,Milan,1.4,0.3,48.0,75.676,Adrien Rabiot,3-5-2,Maurizio Mariani,Report partita,,14.0,195.0,1.0,0,0,2024,Juventus
9,28-10-2023,20:45,Serie A,Giornata n. 10,Sab,Casa,V,1.0,0.0,Hellas Verona,3.3,0.3,54.0,39.429,Adrien Rabiot,3-5-2,Ermanno Feliciani,Report partita,,30.0,178.0,0.0,0,0,2024,Juventus
10,05-11-2023,20:45,Serie A,Giornata n. 11,Dom,Ospiti,V,1.0,0.0,Fiorentina,0.7,0.7,32.0,38.225,Adrien Rabiot,3-5-2,Daniele Chiffi,Report partita,,4.0,123.0,0.0,0,0,2024,Juventus
11,11-11-2023,18:00,Serie A,Giornata n. 12,Sab,Casa,V,2.0,1.0,Cagliari,2.3,0.6,49.0,39.892,Manuel Locatelli,3-5-2,Marco Piccinini,Report partita,,18.0,141.0,1.0,0,0,2024,Juventus
12,26-11-2023,20:45,Serie A,Giornata n. 13,Dom,Casa,N,1.0,1.0,Inter,0.4,0.9,35.0,41.507,Adrien Rabiot,5-3-2,Marco Guida,Report partita,,4.0,198.0,0.0,0,0,2024,Juventus
13,01-12-2023,20:45,Serie A,Giornata n. 14,Ven,Ospiti,V,2.0,1.0,Monza,2.5,0.7,35.0,15.148,Adrien Rabiot,3-5-2,Michael Fabbri,Report partita,,17.0,162.0,1.0,0,1,2024,Juventus
14,08-12-2023,20:45,Serie A,Giornata n. 15,Ven,Casa,V,1.0,0.0,Napoli,0.9,1.2,34.0,41.4,Danilo Luiz da Silva,3-5-2,Daniele Orsato,Report partita,,11.0,173.0,0.0,0,0,2024,Juventus
15,15-12-2023,20:45,Serie A,Giornata n. 16,Ven,Ospiti,N,1.0,1.0,Genoa,1.7,0.8,57.0,33.232,Danilo Luiz da Silva,3-5-2,Davide Massa,Report partita,,10.0,152.0,0.0,1,1,2024,Juventus
16,23-12-2023,12:30,Serie A,Giornata n. 17,Sab,Ospiti,V,2.0,1.0,Frosinone,1.1,0.5,44.0,38.225,Danilo Luiz da Silva,3-5-2,Maurizio Mariani,Report partita,,13.0,145.0,0.0,0,0,2024,Juventus
17,30-12-2023,20:45,Serie A,Giornata n. 18,Sab,Casa,V,1.0,0.0,Roma,1.1,0.5,43.0,41.503,Danilo Luiz da Silva,3-5-2,Simone Sozza,Report partita,,13.0,180.0,0.0,0,0,2024,Juventus
19,07-01-2024,18:00,Serie A,Giornata n. 19,Dom,Ospiti,V,2.0,1.0,Salernitana,2.0,0.8,70.0,40.548,Danilo Luiz da Silva,3-5-2,Marco Guida,Report partita,,18.0,159.0,1.0,0,0,2024,Juventus
21,16-01-2024,20:45,Serie A,Giornata n. 20,Mar,Casa,V,3.0,0.0,Sassuolo,1.2,0.3,46.0,,Danilo Luiz da Silva,3-5-2,Marco Piccinini,Report partita,,12.0,204.0,2.0,0,0,2024,Juventus
22,21-01-2024,20:45,Serie A,Giornata n. 21,Dom,Ospiti,V,3.0,0.0,Lecce,2.1,0.6,49.0,,Danilo Luiz da Silva,3-5-2,Daniele Doveri,Report partita,,15.0,113.0,0.0,0,0,2024,Juventus
23,27-01-2024,18:00,Serie A,Giornata n. 22,Sab,Casa,N,1.0,1.0,Empoli,0.8,0.8,40.0,,Alex Sandro Lobo Silva,3-5-2,Livio Marinelli,Report partita,,9.0,174.0,1.0,0,0,2024,Juventus
24,04-02-2024,20:45,Serie A,Giornata n. 23,Dom,Ospiti,P,0.0,1.0,Inter,0.6,1.7,46.0,,Danilo Luiz da Silva,3-5-2,Fabio Maresca,Report partita,,12.0,185.0,0.0,0,0,2024,Juventus
25,12-02-2024,20:45,Serie A,Giornata n. 24,Lun,Casa,P,0.0,1.0,Udinese,1.7,0.7,70.0,,Adrien Rabiot,3-5-2,Rosario Abisso,Report partita,,14.0,166.0,0.0,0,0,2024,Juventus
26,17-02-2024,18:00,Serie A,Giornata n. 25,Sab,Ospiti,N,2.0,2.0,Hellas Verona,1.8,0.6,56.0,,Danilo Luiz da Silva,3-5-2,Marco Di Bello,Report partita,,17.0,191.0,1.0,1,1,2024,Juventus
27,25-02-2024,12:30,Serie A,Giornata n. 26,Dom,Casa,V,3.0,2.0,Frosinone,2.0,0.4,62.0,,Adrien Rabiot,3-5-2,Antonio Rapuano,Report partita,,22.0,154.0,0.0,0,0,2024,Juventus
28,03-03-2024,20:45,Serie A,Giornata n. 27,Dom,Ospiti,P,1.0,2.0,Napoli,1.6,2.1,30.0,,Alex Sandro Lobo Silva,3-5-2,Maurizio Mariani,Report partita,,18.0,173.0,1.0,0,0,2024,Juventus
29,10-03-2024,18:00,Serie A,Giornata n. 28,Dom,Casa,N,2.0,2.0,Atalanta,1.3,0.5,52.0,,Danilo Luiz da Silva,3-4-3,Marco Guida,Report partita,,18.0,197.0,3.0,0,0,2024,Juventus
30,17-03-2024,12:30,Serie A,Giornata n. 29,Dom,Casa,N,0.0,0.0,Genoa,1.0,0.2,66.0,,Danilo Luiz da Silva,3-5-2,Antonio Giua,Report partita,,17.0,170.0,0.0,0,0,2024,Juventus
31,30-03-2024,18:00,Serie A,Giornata n. 30,Sab,Ospiti,P,0.0,1.0,Lazio,0.5,1.1,35.0,,Danilo Luiz da Silva,4-3-3,Andrea Colombo,Report partita,,9.0,142.0,0.0,0,0,2024,Juventus
1,21-08-2023,20:45,Serie A,Giornata n. 1,Lun,Casa,P,0,2,Milan,1.0,0.9,53.0,30.203,Nicolás Domínguez,4-1-3-2,Luca Pairetto,Report partita,,17.0,171.0,1.0,0,0,2024,Bologna
2,27-08-2023,18:30,Serie A,Giornata n. 2,Dom,Ospiti,N,1,1,Juventus,0.5,0.8,42.0,36.107,Riccardo Orsolini,4-2-3-1,Marco Di Bello,Report partita,,10.0,217.0,1.0,0,0,2024,Bologna
3,02-09-2023,18:30,Serie A,Giornata n. 3,Sab,Casa,V,2,1,Cagliari,2.3,0.5,71.0,22.818,Stefan Posch,4-2-3-1,Daniele Orsato,Report partita,,15.0,173.0,0.0,0,1,2024,Bologna
4,18-09-2023,20:45,Serie A,Giornata n. 4,Lun,Ospiti,N,0,0,Hellas Verona,0.6,0.4,60.0,18.863,Lorenzo De Silvestri,4-2-3-1,Federico La Penna,Report partita,,11.0,209.0,0.0,0,0,2024,Bologna
5,24-09-2023,18:00,Serie A,Giornata n. 5,Dom,Casa,N,0,0,Napoli,0.2,2.1,49.0,26.621,Michel Aebischer,4-2-3-1,Giovanni Ayroldi,Report partita,,4.0,154.0,0.0,0,0,2024,Bologna
6,28-09-2023,18:30,Serie A,Giornata n. 6,Gio,Ospiti,N,0,0,Monza,0.7,0.7,53.0,8.93,Lorenzo De Silvestri,4-2-3-1,Ivan Pezzuto,Report partita,,8.0,172.0,1.0,0,0,2024,Bologna
7,01-10-2023,12:30,Serie A,Giornata n. 7,Dom,Casa,V,3,0,Empoli,2.4,0.9,58.0,23.689,Lewis Ferguson,4-2-3-1,Fabio Maresca,Report partita,,21.0,173.0,1.0,0,0,2024,Bologna
8,07-10-2023,15:00,Serie A,Giornata n. 8,Sab,Ospiti,N,2,2,Inter,1.3,0.7,37.0,74.072,Lorenzo De Silvestri,4-2-3-1,Marco Guida,Report partita,,7.0,199.0,0.0,1,1,2024,Bologna
9,22-10-2023,15:00,Serie A,Giornata n. 9,Dom,Casa,V,2,1,Frosinone,1.5,1.5,55.0,26.729,Lorenzo De Silvestri,4-2-3-1,Daniele Doveri,Report partita,,12.0,157.0,1.0,0,0,2024,Bologna
10,28-10-2023,15:00,Serie A,Giornata n. 10,Sab,Ospiti,N,1,1,Sassuolo,1.0,0.9,59.0,16.931,Lorenzo De Silvestri,4-2-3-1,Antonio Giua,Report partita,,9.0,209.0,1.0,0,0,2024,Bologna
12,03-11-2023,20:45,Serie A,Giornata n. 11,Ven,Casa,V,1,0,Lazio,0.6,0.5,50.0,24.178,Michel Aebischer,4-2-3-1,Federico La Penna,Report partita,,6.0,167.0,1.0,0,0,2024,Bologna
13,12-11-2023,15:00,Serie A,Giornata n. 12,Dom,Ospiti,P,1,2,Fiorentina,1.8,1.4,61.0,29.75,Michel Aebischer,4-2-3-1,Fabio Maresca,Report partita,,10.0,164.0,0.0,1,1,2024,Bologna
14,27-11-2023,20:45,Serie A,Giornata n. 13,Lun,Casa,V,2,0,Torino,1.5,0.4,48.0,20.705,Michel Aebischer,4-2-3-1,Andrea Colombo,Report partita,,13.0,175.0,0.0,0,0,2024,Bologna
15,03-12-2023,12:30,Serie A,Giornata n. 14,Dom,Ospiti,N,1,1,Lecce,1.2,1.5,57.0,24.326,Michel Aebischer,4-3-3,Daniele Doveri,Report partita,,11.0,165.0,1.0,0,0,2024,Bologna
16,10-12-2023,18:00,Serie A,Giornata n. 15,Dom,Ospiti,V,2,1,Salernitana,2.1,0.5,65.0,16.7,Lewis Ferguson,4-2-3-1,Simone Sozza,Report partita,,10.0,182.0,0.0,0,0,2024,Bologna
17,17-12-2023,18:00,Serie A,Giornata n. 16,Dom,Casa,V,2,0,Roma,0.5,0.6,55.0,25.579,Lewis Ferguson,4-2-3-1,Marco Guida,Report partita,,8.0,201.0,1.0,0,0,2024,Bologna
19,23-12-2023,15:00,Serie A,Giornata n. 17,Sab,Casa,V,1,0,Atalanta,0.7,1.2,60.0,28.082,Lewis Ferguson,4-2-3-1,Antonio Rapuano,Report partita,,9.0,280.0,0.0,0,0,2024,Bologna
20,30-12-2023,15:00,Serie A,Giornata n. 18,Sab,Ospiti,P,0,3,Udinese,0.9,1.1,73.0,24.786,Lewis Ferguson,4-2-3-1,Daniele Orsato,Report partita,,14.0,170.0,1.0,0,0,2024,Bologna
21,05-01-2024,20:45,Serie A,Giornata n. 19,Ven,Casa,N,1,1,Genoa,1.3,0.1,71.0,25.095,Joshua Zirkzee,4-2-3-1,Andrea Colombo,Report partita,,21.0,175.0,0.0,0,0,2024,Bologna
23,14-01-2024,15:00,Serie A,Giornata n. 20,Dom,Ospiti,P,1,2,Cagliari,0.6,0.7,64.0,15.98,Lewis Ferguson,4-2-3-1,Gianluca Manganiello,Report partita,,11.0,164.0,0.0,0,0,2024,Bologna
24,27-01-2024,20:45,Serie A,Giornata n. 22,Sab,Ospiti,N,2,2,Milan,1.8,3.3,50.0,,Lewis Ferguson,4-2-3-1,Davide Massa,Report partita,,14.0,181.0,0.0,1,1,2024,Bologna
25,03-02-2024,20:45,Serie A,Giornata n. 23,Sab,Casa,V,4,2,Sassuolo,1.1,0.8,70.0,,Lewis Ferguson,4-3-3,Juan Sacchi,Report partita,,19.0,188.0,1.0,0,0,2024,Bologna
26,11-02-2024,15:00,Serie A,Giornata n. 24,Dom,Casa,V,4,0,Lecce,1.5,1.2,64.0,,Lewis Ferguson,4-1-4-1,Gianluca Manganiello,Report partita,,16.0,171.0,0.0,0,0,2024,Bologna
27,14-02-2024,19:00,Serie A,Giornata n. 21,Mer,Casa,V,2,0,Fiorentina,2.1,0.9,57.0,,Lewis Ferguson,4-1-4-1,Daniele Chiffi,Report partita,,18.0,150.0,0.0,0,0,2024,Bologna
28,18-02-2024,12:30,Serie A,Giornata n. 25,Dom,Ospiti,V,2,1,Lazio,1.4,1.1,56.0,,Lewis Ferguson,4-1-4-1,Fabio Maresca,Report partita,,11.0,169.0,1.0,0,0,2024,Bologna
